code;omschrijving;96.30 Soort;99.98 Datum ingang;99.99 Datum einde
070;Overg.bep. bij Wet op het Nederl. 1892.  Bep: Rijkswet 14-11-63, art. 3, sub II;VL;19640301;19850101
071;Overg.bep. bij Wet op het Nederl. 1892. Bep: Rijkswet 14-11-1963, art. 3, sub IV;VL;19640301;19850101
072;Overg.bep. bij Wet op het Nederl. 1892. Bep: Rijkswet  14-11-1963, art. 3, sub V;VL;19640301;19850101
073;Toescheidingsovereenkomst Nederland - Suriname, art. 2, lid 1, jo. art. 3;VL;19751125;19751126
074;Toescheidingsovereenkomst Nederland - Suriname, art. 2, lid 1, jo. art. 4, sub a;VL;19751125;19751126
075;Toescheidingsovereenkomst Nederland - Suriname, art. 2, lid 1, jo. art. 4, sub b;VL;19751125;19751126
076;Toescheidingsovereenkomst Nederland - Suriname, art. 2, lid 1, jo. art. 5, lid 1;VL;19751125;19860101
077;Rijkswet op het Nederlanderschap 1984, art. 15, onder a;VL;19850101;20030401
078;Rijkswet op het Nederlanderschap 1984, art. 15, onder b;VL;19850101;20030401
079;Rijkswet op het Nederlanderschap 1984, art. 15, onder c;VL;19850101;20030401
080;Rijkswet op het Nederlanderschap 1984, art. 15, onder d;VL;19850101;20030401
081;Rijkswet op het Nederlanderschap 1984, art. 16, lid 1, onder a;VL;19850101;20030401
082;Rijkswet op het Nederlanderschap 1984, art. 16, lid 1, onder b;VL;19850101;20030401
083;Rijkswet op het Nederlanderschap 1984, art. 16, lid 1, onder c;VL;19850101;20030401
084;Rijkswet op het Nederlanderschap 1984, art. 16, lid 1, onder d;VL;19850101;20030401
085;Rijkswet 14 september 1962, art. 3, lid 1;VK;19620921;
086;Rijkswet 14 september 1962, art. 3, lid 2;VL;19620921;19850101
087;Rijkswet 8 september 1976, art. II;VK;19770315;19850101
088;Wet op het Nederlanderschap 1892, art. 6;VL;18930701;19850101
089;Wet op het Nederlanderschap 1892, art. 8;VK;18930701;19640301
090;Wet op het Nederlanderschap 1892 i.v.m. wijziging 1958, art. 8a;VK;19580901;19640301
091;Wet op het Nederlanderschap 1892 i.v.m. wijziging 1958, art. 8a;VL;19580901;19640301
092;Wet op het Nederlanderschap 1892, art. 9;VL;18930701;19640301
093;Koninklijk Besluit 17 november 1945, art. 2, lid 1;VL;19400511;19510113
094;Wet 29 december 1950, art. 2;VK;19400511;19510113
095;Wet 29 december 1950, art. 3, lid 2;VK;19400511;
096;Wet 23 december 1953, art. I;VL;19540301;19540302
097;Wet 23 december 1953, art. II;VK;19540301;
098;Wet 23 december 1953, art. III;VK;19540301;19760301
099;Overgangsbep. van de Wet op het Nederlanderschap 1892;VK;18930701;18930702
100;Toescheidingsovereenkomst Nederland-Indonesië, art. 3;VL;19491227;19511228
101;Toescheidingsovereenkomst Nederland-Indonesië, art. 4, lid 1;VK;19491227;19491228
102;Toescheidingsovereenkomst Nederland-Indonesië, art. 4, lid 2, sub a;VK;19491227;19511228
103;Toescheidingsovereenkomst Nederland-Indonesië, art. 4, lid 2, sub b;VK;19491227;19491228
104;Toescheidingsovereenkomst Nederland-Indonesië, art. 4, lid 2, sub b;VL;19491227;19511228
105;Toescheidingsovereenkomst Nederland-Indonesië, art. 5, 2e volzin;VK;19491227;19511228
106;Toescheidingsovereenkomst Nederland-Indonesië, art. 5, 3e volzin;VK;19491227;19511228
107;Toescheidingsovereenkomst Nederland-Indonesië, art. 6;VK;19491227;19491228
108;Toescheidingsovereenkomst Nederland-Indonesië, art. 6;VL;19491227;19511228
109;Toescheidingsovereenkomst Nederland-Indonesië, art. 7;VK;19491227;19491228
110;Toescheidingsovereenkomst Nederland-Indonesië, art. 7;VL;19491227;19511228
111;Toescheidingsovereenkomst Nederland-Indonesië, art. 8;VK;19491227;19671226
112;Toescheidingsovereenkomst Nederland-Indonesië, art. 8;VL;19491227;19671226
113;Toescheidingsovereenkomst Nederland-Indonesië, art. 10;VK;19491227;
114;Toescheidingsovereenkomst Nederland-Indonesië, art. 10;VL;19491227;
115;Rijkswet op het Nederlanderschap 1984, art. 14, lid 1;VL;19850101;20030401
116;Toescheidingsovereenkomst Nederland-Suriname, art. 3 VERVALLEN!;VL;19751125;19911101
117;Overeenkomst van Bern van 13 september 1973, art. 3, jo. art. 1, lid 1;VK;19850519;19850520
118;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 1998, art. 5, lid 2;VK;19981001;20040101
119;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 1998, art. 5, lid 3;VK;19981001;20040101
120;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 1998, art. 5, lid 4;VK;19981001;20040101
121;Overg.bep. bij wijz. Rijkswet Nederl.  Bep: Rijkswet 21-12-2000, art. V, lid 2;VK;20010201;20030401
122;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 3, lid 3;VK;20030401;
123;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 4, lid 1;VK;20030401;
124;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 4, lid 2;VK;20030401;20090301
125;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 6, lid 1, onder a;VK;20030401;
126;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 6, lid 1, onder b;VK;20030401;
127;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 6, lid 1, onder c;VK;20030401;20090301
128;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 6, lid 1, onder d;VK;20030401;
129;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 6, lid 1, onder e;VK;20030401;
130;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 6, lid 1, onder f;VK;20030401;
131;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 6, lid 1, onder g;VK;20030401;
132;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 6, lid 1, onder h;VK;20030401;
133;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 6, lid 7;VK;20030401;20090301
134;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 11, lid 1;VK;20030401;
135;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 11, lid 4;VK;20030401;20090301
136;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 11, lid 5;VK;20030401;20090301
137;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 11, lid 7;VK;20030401;
138;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 14, lid 1;VL;20030401;
139;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 14, lid 2;VL;20030401;20101001
140;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 15, lid 1, onder c;VL;20030401;
141;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 15, lid 1, onder e;VL;20030401;20170301
142;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 15A, onder a;VL;20030401;20040101
143;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 15A, onder b;VL;20030401;20040101
144;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 16, lid 1, onder a;VL;20030401;
145;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 16, lid 1, onder b;VL;20030401;20090301
146;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 16, lid 1, onder c;VL;20030401;
147;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 16, lid 1, onder d;VL;20030401;
148;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 16, lid 1, onder e;VL;20030401;
149;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 16A;VL;20030401;20040101
150;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 26, lid 3;VK;20030401;20090301
151;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 28, lid 1;VK;20030401;
152;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2002, art. 28, lid 3;VK;20030401;20090301
