fields pad,volledig pad
overlijden.plaats,overlijden.plaats
overlijden.plaats.code,overlijden.plaats.code
overlijden.plaats.omschrijving,overlijden.plaats.omschrijving
partners,partners
aangaanHuwelijkPartnerschap,partners.aangaanHuwelijkPartnerschap
aangaanHuwelijkPartnerschap.datum,partners.aangaanHuwelijkPartnerschap.datum
aangaanHuwelijkPartnerschap.land,partners.aangaanHuwelijkPartnerschap.land
aangaanHuwelijkPartnerschap.land.code,partners.aangaanHuwelijkPartnerschap.land.code
aangaanHuwelijkPartnerschap.land.omschrijving,partners.aangaanHuwelijkPartnerschap.land.omschrijving
aangaanHuwelijkPartnerschap.plaats,partners.aangaanHuwelijkPartnerschap.plaats
aangaanHuwelijkPartnerschap.plaats.code,partners.aangaanHuwelijkPartnerschap.plaats.code
aangaanHuwelijkPartnerschap.plaats.omschrijving,partners.aangaanHuwelijkPartnerschap.plaats.omschrijving
partners.burgerservicenummer,partners.burgerservicenummer
partners.geboorte,partners.geboorte
partners.geboorte.datum,partners.geboorte.datum
partners.geboorte.land,partners.geboorte.land
partners.geboorte.land.code,partners.geboorte.land.code
partners.geboorte.land.omschrijving,partners.geboorte.land.omschrijving
partners.geboorte.plaats,partners.geboorte.plaats
partners.geboorte.plaats.code,partners.geboorte.plaats.code
partners.geboorte.plaats.omschrijving,partners.geboorte.plaats.omschrijving
partners.geslacht,partners.geslacht
partners.geslacht.code,partners.geslacht.code
partners.geslacht.omschrijving,partners.geslacht.omschrijving
partners.naam,partners.naam
partners.naam.adellijkeTitelPredicaat,partners.naam.adellijkeTitelPredicaat
partners.naam.adellijkeTitelPredicaat.code,partners.naam.adellijkeTitelPredicaat.code
partners.naam.adellijkeTitelPredicaat.omschrijving,partners.naam.adellijkeTitelPredicaat.omschrijving
partners.naam.adellijkeTitelPredicaat.soort,partners.naam.adellijkeTitelPredicaat.soort
partners.naam.geslachtsnaam,partners.naam.geslachtsnaam
partners.naam.voorletters,partners.naam.voorletters
partners.naam.voornamen,partners.naam.voornamen
partners.naam.voorvoegsel,partners.naam.voorvoegsel
ontbindingHuwelijkPartnerschap,partners.ontbindingHuwelijkPartnerschap
ontbindingHuwelijkPartnerschap.datum,partners.ontbindingHuwelijkPartnerschap.datum
soortVerbintenis,partners.soortVerbintenis
soortVerbintenis.code,partners.soortVerbintenis.code
soortVerbintenis.omschrijving,partners.soortVerbintenis.omschrijving
rni,rni
categorie,rni.categorie
deelnemer,rni.deelnemer
deelnemer.code,rni.deelnemer.code
deelnemer.omschrijving,rni.deelnemer.omschrijving
omschrijvingVerdrag,rni.omschrijvingVerdrag
uitsluitingKiesrecht,uitsluitingKiesrecht
einddatum,uitsluitingKiesrecht.einddatum
uitgeslotenVanKiesrecht,uitsluitingKiesrecht.uitgeslotenVanKiesrecht
verblijfplaats,verblijfplaats
verblijfplaats.datumIngangGeldigheid,verblijfplaats.datumIngangGeldigheid
datumVan,verblijfplaats.datumVan
verblijfadres,verblijfplaats.verblijfadres
verblijfadres.land,verblijfplaats.verblijfadres.land
verblijfadres.land.code,verblijfplaats.verblijfadres.land.code
verblijfadres.land.omschrijving,verblijfplaats.verblijfadres.land.omschrijving
regel1,verblijfplaats.verblijfadres.regel1
regel2,verblijfplaats.verblijfadres.regel2
regel3,verblijfplaats.verblijfadres.regel3
adresseerbaarObjectIdentificatie,verblijfplaats.adresseerbaarObjectIdentificatie
functieAdres,verblijfplaats.functieAdres
functieAdres.code,verblijfplaats.functieAdres.code
functieAdres.omschrijving,verblijfplaats.functieAdres.omschrijving
nummeraanduidingIdentificatie,verblijfplaats.nummeraanduidingIdentificatie
aanduidingBijHuisnummer,verblijfplaats.verblijfadres.aanduidingBijHuisnummer
aanduidingBijHuisnummer.code,verblijfplaats.verblijfadres.aanduidingBijHuisnummer.code
aanduidingBijHuisnummer.omschrijving,verblijfplaats.verblijfadres.aanduidingBijHuisnummer.omschrijving
huisletter,verblijfplaats.verblijfadres.huisletter
huisnummer,verblijfplaats.verblijfadres.huisnummer
huisnummertoevoeging,verblijfplaats.verblijfadres.huisnummertoevoeging
korteNaam,verblijfplaats.verblijfadres.korteNaam
postcode,verblijfplaats.verblijfadres.postcode
straat,verblijfplaats.verblijfadres.straat
woonplaats,verblijfplaats.verblijfadres.woonplaats
locatiebeschrijving,verblijfplaats.verblijfadres.locatiebeschrijving
verblijfstitel,verblijfstitel
verblijfstitel.aanduiding,verblijfstitel.aanduiding
verblijfstitel.aanduiding.code,verblijfstitel.aanduiding.code
verblijfstitel.aanduiding.omschrijving,verblijfstitel.aanduiding.omschrijving
datumEinde,verblijfstitel.datumEinde
datumIngang,verblijfstitel.datumIngang
verificatie,verificatie
verificatie.datum,verificatie.datum
verificatie.omschrijving,verificatie.omschrijving
