veldnaam;;;;;categorie;element;GBA Persoon veldnaam;;;;;aanpassing door proxy;afleiding of feature;Buitengemeentelijke autorisatie;Beperkt zoekresultaat;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;geboorte;;;;2, 3;;;geboorte;;;;;;Ja;;
;;datum;;;2, 3;03.10;;;datum;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;;plaats;;;2, 3;03.20;;;plaats;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;Ja;;
;;land;;;2, 3;03.30;;;land;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;Ja;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;ouders.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;geslacht;;;;2, 3;04.10;;geslacht;;;;;;;;
;datumIngangFamilierechtelijkeBetrekking;;;;2, 3;62.10;;datumIngangFamilierechtelijkeBetrekking;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;;;
;inOnderzoek;;;;2, 3;;;inOnderzoek;;;;;;~;;
;;*;;;2, 3;83.10;;;aanduidingGegevensInOnderzoek;;;vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;2, 3;83.20;;;datumIngangOnderzoek;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
nationaliteiten;;;;;4;;nationaliteiten;;;;;;;~;;
;type;;;;;;;;;;;Nationaliteit | Staatloos | NationaliteitOnbekend | BehandeldAlsNederlander | VastgesteldNietNederlander;nationaliteit;Ja;;
